A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,JP1,JP2,JP3,JP4,JP5,gender,education,age
4,4,4,4,4,4,3,3,3,4,2,3,4,2,3,1,3,40
5,3,5,4,2,2,2,4,3,4,3,4,3,2,3,1,3,43
1,6,4,6,4,5,6,3,1,5,6,6,3,2,2,1,3,40
1,4,4,2,3,6,5,6,3,4,3,4,3,3,5,1,3,41
1,6,6,6,6,6,6,6,1,1,1,1,1,6,6,1,NA,50
1,5,4,3,5,6,5,5,2,2,3,2,3,6,5,2,5,68
1,5,5,6,5,4,4,4,3,4,4,3,4,4,4,2,3,60
5,4,3,6,4,5,2,5,2,4,6,4,2,4,4,2,4,47
1,5,4,4,5,4,5,4,3,3,3,3,2,5,4,1,1,38
5,6,4,3,5,5,3,3,4,5,6,4,4,4,3,1,4,40
2,6,6,6,6,5,4,5,3,4,2,2,4,5,5,2,5,44
1,6,6,6,6,5,2,1,2,1,6,5,6,6,5,1,3,45
5,5,3,4,3,4,4,3,4,5,4,4,5,2,4,1,2,42
2,6,4,5,5,3,2,3,4,6,2,4,2,4,4,2,1,38
1,5,3,2,3,3,6,3,1,3,5,5,5,5,3,2,1,63
1,6,6,6,6,5,5,4,1,2,1,1,6,6,6,1,3,40
1,6,6,6,4,4,3,1,4,2,2,2,5,4,4,2,3,44
1,5,6,5,4,6,6,6,6,2,4,4,4,3,6,2,4,46
3,6,4,4,4,5,5,3,2,5,1,1,4,6,5,1,4,46
4,3,5,6,3,5,6,2,5,2,3,5,2,6,2,2,3,45
1,6,6,6,6,6,5,5,2,2,1,2,5,6,5,1,4,45
1,4,3,5,5,5,5,4,4,5,2,5,4,5,5,1,5,46
1,4,2,2,2,5,5,5,5,1,4,5,4,3,4,2,3,41
3,4,5,2,4,5,4,5,2,4,5,5,5,4,5,1,5,44
1,6,5,4,4,6,6,6,1,4,4,4,1,2,5,2,2,70
3,3,5,4,5,6,4,4,2,2,2,1,4,6,4,1,5,49
2,3,4,4,5,5,3,2,4,6,4,4,3,5,2,1,1,52
2,4,4,5,3,5,5,4,3,4,6,5,4,3,4,1,1,38
1,4,6,6,6,NA,6,6,2,3,1,1,5,6,6,2,4,52
4,5,3,5,4,6,5,5,2,2,1,1,5,6,6,2,3,46
2,6,6,6,6,4,6,6,1,4,3,6,5,4,4,2,5,47
2,NA,4,6,4,5,4,5,2,1,5,5,3,3,3,2,3,39
1,5,4,2,5,1,2,2,2,6,2,5,2,2,1,1,4,41
4,3,2,2,2,4,2,2,4,5,4,3,4,2,4,1,3,41
2,3,4,5,6,5,5,4,2,2,1,2,4,4,4,2,5,56
1,6,6,3,6,6,5,6,1,4,4,4,2,3,3,2,2,68
4,5,6,6,4,4,6,6,1,2,4,3,5,5,5,2,3,42
2,4,6,2,5,2,4,4,1,1,1,1,4,4,NA,2,2,43
4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,1,3,41
1,5,5,5,4,5,5,5,1,2,4,4,3,2,5,2,3,40
3,5,5,5,4,5,5,5,1,1,2,3,5,5,4,2,3,43
2,5,5,6,5,5,4,6,3,2,1,1,4,6,5,2,4,63
2,6,6,6,6,5,4,5,1,2,1,1,6,6,5,2,NA,36
5,6,6,6,5,5,5,6,3,4,1,2,5,6,6,2,NA,34
1,2,2,4,2,2,4,2,5,1,2,2,4,2,2,2,3,74
2,5,5,5,5,4,2,3,5,4,4,4,4,5,4,1,2,40
1,5,6,5,3,6,5,4,4,3,4,5,4,4,5,1,4,48
1,6,3,3,1,6,6,5,1,6,4,5,3,5,1,2,4,58
1,4,6,2,6,3,3,4,4,5,6,4,5,6,2,1,NA,58
1,6,6,5,6,5,6,5,1,1,3,2,5,5,5,1,3,47
1,6,5,2,6,4,5,5,2,3,3,4,4,5,3,2,1,38
4,4,4,6,5,2,5,4,4,3,5,3,3,3,5,1,3,49
1,5,5,5,5,4,4,5,2,2,5,2,2,5,5,2,4,70
1,6,5,4,6,4,5,4,4,5,2,2,4,5,5,2,3,70
1,6,4,6,4,4,4,5,2,4,1,2,4,5,5,2,3,40
3,4,5,5,4,3,3,NA,3,3,4,4,4,3,4,2,3,39
1,5,5,5,5,5,2,4,1,2,4,1,5,5,5,2,4,76
1,5,6,2,5,5,4,5,3,4,3,5,4,4,4,2,4,49
2,4,5,4,5,2,2,3,4,4,1,5,2,6,2,2,5,49
1,6,6,3,6,6,6,5,1,1,1,3,5,6,6,2,5,68
2,6,4,6,4,4,5,6,3,1,2,4,2,5,4,2,1,50
2,3,3,4,3,5,6,4,1,4,5,6,2,2,4,2,2,41
3,1,2,2,2,2,1,2,6,6,6,6,1,1,1,1,3,39
1,4,5,5,6,6,4,4,1,1,5,1,2,3,5,1,5,62
4,3,2,6,5,4,5,6,2,6,5,5,1,5,5,2,3,38
2,6,2,3,4,4,2,5,3,5,5,3,2,3,5,2,4,70
2,5,5,3,5,4,3,4,3,5,3,5,4,5,5,2,3,44
3,4,4,2,4,4,3,4,4,2,2,3,4,3,5,1,5,45
2,5,5,5,2,6,6,4,1,5,3,2,2,2,5,1,5,67
1,4,5,2,6,2,1,2,4,6,6,5,3,3,3,2,1,38
1,6,4,1,1,6,4,5,2,1,6,6,3,1,1,2,4,57
1,6,5,6,6,5,3,4,6,5,2,4,3,4,5,2,4,53
1,5,5,5,2,6,NA,6,1,1,3,2,1,2,6,2,5,60
6,1,1,1,2,3,6,3,3,4,1,4,5,2,6,1,NA,38
2,6,5,6,5,5,4,4,4,6,1,3,4,6,4,2,3,41
3,6,5,6,4,3,5,2,3,4,2,5,6,6,5,2,3,47
1,6,6,6,6,4,4,5,3,4,3,2,4,5,4,2,3,39
NA,4,5,6,4,5,5,5,1,5,3,4,3,2,3,2,4,56
1,6,6,5,4,5,3,5,1,2,2,4,4,5,4,2,3,39
1,6,6,6,6,6,6,5,1,6,5,5,2,5,5,2,5,49
1,6,5,4,5,5,4,5,2,2,1,1,6,6,5,2,5,43
4,2,1,2,2,4,1,2,6,6,5,5,2,2,1,1,5,43
1,5,4,3,4,5,6,4,1,4,3,2,4,5,6,1,3,40
5,2,2,2,1,2,2,2,3,5,5,6,2,1,2,1,4,44
2,5,4,3,4,5,4,5,2,3,1,2,4,5,5,1,5,44
1,5,6,6,6,6,5,4,2,6,1,2,5,6,6,1,5,46
4,6,5,5,6,4,6,5,5,2,1,3,6,6,6,2,3,45
2,5,4,4,4,4,5,5,5,5,5,6,3,2,2,1,4,44
6,5,5,2,5,5,5,6,1,1,1,2,5,5,6,1,5,44
2,5,5,1,6,5,5,5,3,6,2,4,6,6,5,1,5,48
2,4,5,5,5,5,5,4,6,6,5,5,5,5,3,1,4,42
2,5,5,5,2,5,5,5,2,6,5,5,3,2,2,1,5,46
2,5,6,5,6,5,4,5,3,2,2,2,4,5,5,1,5,45
2,5,4,4,5,5,4,5,3,5,2,3,5,4,5,1,4,43
2,5,5,3,2,2,3,4,5,6,2,5,2,2,2,1,3,42
4,5,4,NA,3,5,3,4,2,5,1,4,3,5,4,2,3,39
2,4,4,4,4,4,4,4,4,5,4,3,4,6,5,2,4,45
3,5,4,5,4,4,4,5,3,5,2,4,5,5,4,1,3,45
4,3,3,3,3,6,5,5,2,3,5,NA,3,2,3,1,5,47
2,4,3,3,3,4,4,4,3,6,2,5,3,2,5,2,3,40
1,6,6,6,6,6,6,3,6,5,6,5,5,6,6,2,3,45
1,6,6,5,6,6,1,3,4,5,3,4,4,6,3,2,3,69
1,6,6,4,6,1,1,3,1,1,1,1,6,6,6,2,3,46
1,6,5,6,5,6,6,4,1,1,1,2,5,4,5,2,3,45
1,6,5,6,5,5,5,4,1,4,2,3,6,6,5,2,3,45
3,6,6,4,6,2,3,2,5,5,1,1,6,6,6,1,NA,38
2,3,1,3,1,3,3,3,2,6,6,6,1,1,3,1,3,41
2,4,5,5,5,4,4,6,4,2,1,2,4,6,5,2,3,42
2,5,3,5,1,6,5,4,2,2,1,1,5,6,2,2,3,57
1,6,5,6,6,3,2,4,2,3,3,2,5,5,3,2,3,40
5,4,4,5,6,3,5,3,3,6,4,4,6,5,5,2,1,42
2,5,4,3,3,6,4,4,2,4,6,4,3,3,4,2,5,61
1,6,6,3,6,6,6,6,1,5,1,4,5,5,6,2,5,42
2,6,4,5,4,4,4,5,3,5,3,3,4,4,4,1,5,44
2,6,3,5,2,4,4,6,4,5,2,1,5,4,6,2,4,43
1,5,5,6,5,5,5,5,2,2,2,2,1,5,3,1,4,52
1,5,5,3,3,5,2,2,5,6,2,3,2,3,4,1,5,63
1,6,6,5,6,6,5,3,1,1,1,2,5,5,5,2,4,50
2,5,5,6,5,4,4,2,5,4,4,3,5,5,4,2,2,70
4,4,3,1,4,5,4,4,1,1,1,1,4,6,6,1,1,38
2,6,5,5,3,5,5,6,2,1,2,5,3,4,5,2,3,36
3,5,6,5,5,4,5,4,2,4,2,2,5,5,5,2,5,54
1,6,6,6,5,5,3,4,4,4,1,2,5,6,5,2,2,38
2,5,5,5,4,3,1,4,4,5,5,5,5,3,5,2,5,44
2,4,4,1,3,3,5,4,4,5,4,4,4,5,2,1,2,38
2,4,5,5,4,5,6,5,2,1,3,4,4,2,6,2,3,42
1,5,5,6,5,5,4,5,1,1,4,2,4,4,4,2,2,56
1,6,6,2,5,5,3,2,3,4,2,2,3,5,5,2,3,39
2,6,4,5,4,2,3,2,4,5,2,3,4,5,4,1,3,40
1,5,2,3,4,2,5,6,5,2,5,2,1,3,4,1,3,44
1,6,6,6,6,5,5,5,2,2,2,2,5,6,4,2,3,40
2,4,5,5,5,1,1,3,4,5,1,2,5,5,2,1,5,54
2,4,5,6,5,4,6,4,1,2,1,1,6,6,5,1,3,41
2,6,5,4,4,4,2,4,5,5,2,NA,4,3,5,1,3,39
1,5,5,5,5,5,6,4,2,2,4,1,5,4,6,2,2,38
1,6,6,1,3,6,6,5,1,4,5,6,1,4,1,2,NA,45
3,4,4,3,4,3,3,5,3,6,2,5,5,3,4,2,5,47
4,4,5,6,4,5,6,6,4,2,2,2,5,5,5,1,5,53
1,5,5,5,5,4,4,4,4,5,2,2,5,5,5,1,3,40
2,6,5,5,4,5,4,5,3,4,4,6,5,6,6,2,3,39
2,6,6,6,5,5,5,5,2,1,2,1,5,5,6,2,NA,36
1,2,2,4,3,6,4,6,5,6,4,5,1,6,3,2,3,38
1,6,5,6,6,4,5,3,3,4,6,3,4,5,5,2,4,55
6,5,6,6,5,6,6,6,1,3,6,6,4,4,5,2,3,43
4,3,4,3,4,4,3,5,4,4,2,4,4,3,4,2,5,47
3,4,2,2,3,3,2,2,4,1,2,2,5,4,5,1,3,38
4,3,4,3,3,5,2,4,4,5,3,5,4,1,4,1,2,51
1,6,5,6,6,5,4,5,2,4,3,4,5,6,4,2,NA,37
3,5,4,4,4,3,3,4,4,4,5,4,3,2,4,1,1,73
4,2,2,3,3,4,3,3,4,5,4,5,2,2,5,1,5,49
3,4,4,3,3,5,5,4,3,2,3,4,4,2,3,1,2,39
1,6,5,6,3,3,5,1,1,6,1,3,3,3,6,2,1,49
1,5,5,4,5,4,4,4,4,4,4,1,5,5,4,1,5,61
2,2,1,6,3,6,6,6,1,1,2,2,5,6,6,2,5,51
2,4,4,5,5,5,5,5,1,2,6,5,2,5,5,2,3,65
1,6,6,2,5,5,5,5,1,2,2,2,6,6,6,2,2,67
2,3,4,4,4,3,1,1,3,2,3,3,3,3,4,1,4,47
1,6,4,3,6,4,4,5,2,5,2,5,4,5,6,2,2,44
2,3,4,5,3,4,5,4,2,5,5,3,3,4,4,1,4,40
5,4,3,5,4,4,4,4,4,5,1,5,5,6,4,1,2,43
1,5,4,4,4,5,5,5,2,4,3,4,2,4,4,1,5,48
1,6,6,5,3,1,3,2,2,5,6,6,5,1,2,2,NA,36
2,5,6,3,5,5,3,3,3,4,1,2,6,5,6,1,1,38
2,4,5,6,5,2,4,4,3,2,4,4,3,5,2,2,NA,36
2,6,5,5,5,2,4,3,4,6,1,3,5,6,6,1,NA,37
1,5,6,4,5,3,2,5,2,1,1,1,2,5,4,2,1,38
2,5,5,5,5,5,6,5,1,2,2,3,3,5,4,1,NA,36
1,5,2,2,2,2,2,6,2,3,5,6,4,1,5,2,NA,36
3,3,5,5,5,4,4,4,3,4,3,2,3,5,4,2,1,38
2,4,5,6,5,5,6,4,1,2,2,1,4,6,5,1,NA,37
1,6,5,5,5,5,4,4,3,4,3,2,4,5,4,1,NA,37
2,6,4,6,2,4,5,5,1,1,6,4,5,4,6,1,NA,36
2,5,5,6,4,2,4,2,2,4,5,4,3,3,5,2,1,38
1,4,NA,6,6,6,4,4,1,1,6,6,6,1,6,2,5,70
1,5,6,5,5,3,3,3,4,4,1,1,5,5,5,2,4,45
2,3,2,1,4,1,2,2,1,5,1,5,2,4,5,1,5,68
2,5,5,5,5,6,2,5,2,2,2,2,4,6,5,2,4,47
1,6,5,6,6,4,5,4,5,6,3,4,6,5,5,2,3,42
5,4,4,4,5,5,4,NA,4,4,4,4,4,5,3,1,3,40
3,4,3,3,3,3,3,3,4,6,5,5,2,2,4,2,NA,37
1,6,6,4,6,5,5,5,1,3,3,1,6,2,NA,2,5,79
2,4,4,1,4,5,4,4,2,2,4,5,3,3,5,2,1,37
1,6,6,6,6,6,5,4,1,2,1,1,5,6,6,2,3,52
2,4,4,4,3,5,1,3,2,1,1,1,3,6,5,1,3,42
5,5,4,5,4,6,6,6,1,6,2,2,4,5,5,1,3,41
5,3,1,2,3,6,2,2,4,5,5,4,3,4,2,1,5,49
2,5,5,5,4,5,5,5,4,3,2,4,5,5,4,1,1,38
1,5,NA,5,6,6,6,1,1,1,6,1,1,5,1,2,3,60
1,5,5,6,6,5,5,5,3,3,1,1,5,5,5,2,5,68
1,5,6,6,4,5,3,4,3,5,2,2,3,6,4,2,4,59
1,5,6,5,6,2,5,5,2,2,1,3,4,6,6,2,4,70
1,6,6,6,4,1,5,6,3,2,4,2,6,4,2,2,5,46
3,5,5,3,4,4,3,4,3,3,3,4,3,4,3,2,2,41
2,5,4,3,2,6,5,6,2,4,2,4,2,2,5,1,4,75
1,5,6,5,5,5,3,4,1,5,2,2,4,5,5,2,5,57
2,6,6,5,5,5,5,4,2,1,2,3,5,4,6,2,5,58
5,4,5,6,4,1,4,6,2,2,3,3,5,4,5,1,3,39
2,6,4,3,5,5,3,3,2,4,4,4,3,3,3,2,NA,37
5,4,5,6,2,5,6,4,1,1,1,1,3,6,3,2,3,40
3,5,2,4,5,5,4,6,3,3,3,5,2,3,2,2,5,54
3,6,5,6,6,6,5,5,1,1,1,2,4,6,6,2,3,58
2,5,4,4,4,3,3,4,5,4,2,2,4,4,4,2,3,38
1,NA,4,6,5,5,5,2,3,3,2,2,4,2,4,2,5,52
1,6,6,6,5,4,3,4,5,6,2,2,4,5,3,1,3,39
3,4,4,6,3,5,5,5,2,4,6,4,3,3,4,1,3,39
3,5,6,5,6,5,6,5,2,1,3,1,4,6,5,1,3,41
1,5,NA,6,5,5,5,6,1,1,1,2,4,6,6,2,3,42
2,4,4,6,3,4,5,4,2,4,6,4,2,3,4,1,3,39
4,5,5,5,5,5,4,5,2,4,2,2,4,5,5,2,5,61
1,6,4,6,6,5,4,5,1,2,5,1,5,4,6,1,3,60
4,3,4,2,5,5,5,5,2,2,2,2,3,3,6,2,5,64
3,5,5,5,5,4,3,3,3,5,3,4,3,5,5,1,3,45
5,2,1,1,2,2,1,2,5,6,2,5,2,4,2,2,NA,35
3,3,3,4,4,5,2,5,2,3,4,2,3,5,4,1,3,44
4,2,4,1,4,5,4,4,1,5,2,2,4,3,5,2,3,43
3,5,4,5,5,4,2,4,4,4,3,4,6,6,6,2,1,42
3,5,6,6,5,4,4,6,3,3,3,4,4,5,4,2,3,39
4,5,5,6,4,6,5,5,2,2,5,5,4,4,4,2,3,43
6,1,1,4,6,5,6,5,1,1,1,1,5,6,6,2,3,58
3,5,5,6,6,6,6,6,1,1,1,2,4,4,6,1,2,46
5,5,5,6,6,5,4,5,2,2,4,1,5,6,5,2,3,66
3,4,4,5,3,4,4,4,2,2,4,3,3,3,5,2,2,44
5,6,5,5,6,5,4,6,1,2,1,3,5,6,5,2,1,38
1,6,5,6,5,3,3,5,4,4,4,5,4,3,5,1,2,68
1,6,6,6,5,6,4,4,1,5,1,1,6,3,3,2,3,50
4,4,6,5,4,4,5,3,5,4,2,4,4,5,3,1,2,42
5,5,5,1,5,6,5,2,6,6,4,4,6,3,3,1,3,40
3,4,4,3,2,6,5,5,1,3,2,5,5,2,5,1,5,56
6,6,6,6,6,5,5,6,6,1,1,1,6,6,6,1,1,38
2,6,5,6,5,6,5,5,1,1,5,1,5,5,6,1,3,47
4,1,4,6,6,6,4,4,2,6,1,1,6,6,5,2,2,50
3,5,4,5,5,5,6,5,2,1,3,3,4,6,5,1,3,38
2,4,5,5,5,4,4,4,2,3,3,4,3,5,3,1,3,40
1,5,5,5,5,5,4,5,1,1,2,2,3,5,5,2,3,75
1,6,6,5,5,5,6,5,2,5,4,4,3,6,5,2,3,37
4,5,4,3,4,4,4,5,4,5,4,4,4,4,5,1,4,48
3,5,4,5,5,5,5,3,4,6,1,6,5,6,6,2,3,39
4,5,6,4,6,4,5,5,3,3,1,1,5,5,6,2,3,39
1,6,6,6,6,6,5,6,1,3,1,1,6,6,6,2,NA,36
1,5,6,6,6,5,6,6,5,1,4,1,6,6,5,1,1,51
2,4,4,4,5,4,5,4,2,4,1,1,5,6,6,2,3,70
3,5,6,6,6,4,5,6,3,1,2,1,5,2,6,2,3,51
1,5,6,5,6,6,5,5,1,2,2,1,5,5,6,2,5,47
1,4,4,2,5,5,4,3,2,4,5,5,4,2,3,1,3,36
4,6,6,6,5,4,4,5,2,5,1,1,4,5,5,1,3,38
2,6,5,6,3,3,3,5,3,5,1,4,3,5,2,2,3,40
3,4,5,4,4,4,4,3,4,5,5,4,3,3,4,1,3,41
2,6,6,6,6,5,4,5,1,1,1,1,5,5,5,2,5,52
2,2,2,4,3,3,2,4,4,6,4,4,3,3,3,2,3,50
2,5,4,6,4,4,5,4,3,4,1,3,3,4,4,2,3,44
3,4,6,6,4,4,4,5,5,4,2,4,4,3,3,2,1,55
1,5,5,6,5,5,4,5,2,1,1,3,5,6,5,2,3,39
2,5,6,5,4,3,5,5,2,1,4,5,4,1,6,2,3,43
2,4,2,4,4,5,3,5,2,3,6,4,4,5,5,2,NA,36
1,6,6,6,6,6,4,4,3,4,1,1,6,6,6,1,4,41
1,6,6,6,5,5,4,6,2,2,2,4,4,6,3,2,3,42
1,5,5,6,5,2,4,5,5,5,3,5,5,5,2,2,3,40
2,5,5,5,5,5,5,5,2,1,2,2,4,5,5,1,4,46
3,4,5,5,5,4,4,5,4,4,5,4,3,NA,4,1,3,39
3,6,5,5,5,4,4,5,4,4,1,2,5,6,6,2,5,45
1,5,6,4,6,5,3,3,4,5,1,1,5,6,5,2,5,48
5,6,6,6,6,4,5,4,3,5,1,2,4,6,6,2,NA,37
1,6,6,1,5,5,6,6,5,6,1,3,6,5,5,2,NA,36
3,4,4,4,3,3,2,2,4,6,5,3,4,4,5,1,NA,37
4,5,5,6,6,3,5,6,2,1,6,6,1,5,6,1,1,49
3,4,4,3,4,4,4,4,4,3,3,4,3,4,3,2,2,39
1,5,5,6,5,5,6,2,1,5,3,3,5,6,4,2,4,67
1,5,5,5,4,4,4,4,2,2,4,4,4,2,5,2,4,72
2,6,6,5,5,5,2,6,5,5,6,5,3,4,2,2,4,42
3,5,6,4,5,4,3,5,3,4,1,2,4,5,4,1,3,38
4,5,4,5,4,5,5,4,1,1,2,2,4,5,5,2,3,50
2,6,4,2,5,5,5,4,2,4,2,4,3,2,6,2,NA,37
5,2,3,2,3,5,4,3,2,3,4,5,4,4,1,1,3,51
1,6,5,6,5,5,6,6,2,1,5,2,5,1,6,1,2,76
3,4,4,4,4,6,6,5,1,2,2,2,5,5,6,2,4,48
1,6,6,4,6,4,5,5,2,3,1,1,6,6,5,2,4,53
3,5,6,6,6,3,5,3,2,2,2,4,4,4,4,2,3,50
1,6,5,4,5,6,5,5,1,2,1,4,1,5,4,2,3,43
2,5,5,6,5,4,4,4,1,2,3,2,4,5,5,2,3,40
1,6,6,6,6,5,4,6,1,2,1,2,6,6,6,2,2,47
3,5,5,6,1,6,5,5,4,6,1,1,6,3,6,1,2,45
2,4,4,6,2,5,5,5,2,1,3,6,5,4,5,2,2,47
3,5,6,4,6,2,1,5,6,6,1,1,5,5,1,2,NA,76
3,5,4,2,2,4,4,4,2,2,4,4,2,4,4,2,3,38
2,5,3,2,2,5,3,4,4,4,2,2,4,4,5,1,1,38
2,6,6,6,6,4,5,5,1,2,2,2,3,5,6,1,3,41
2,2,6,2,2,6,6,6,1,2,6,2,6,1,6,1,2,39
2,6,6,6,6,4,5,4,2,2,1,1,5,6,5,2,2,38
5,2,2,2,5,5,5,6,2,5,4,5,3,3,3,1,4,49
4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,1,4,53
3,3,4,6,3,4,4,3,4,4,5,5,2,3,5,1,3,51
1,6,5,6,5,5,5,5,2,4,2,2,5,5,5,2,5,53
2,NA,5,5,2,5,5,6,1,2,6,5,2,4,5,2,5,48
4,5,5,6,4,4,4,3,3,4,6,6,3,2,3,2,3,41
1,5,4,5,6,6,6,2,6,6,1,1,6,6,6,2,4,65
2,2,5,4,4,5,5,4,3,5,5,5,4,5,4,2,5,64
1,6,6,6,4,5,5,3,4,5,4,4,4,5,3,2,3,38
2,6,5,5,6,4,6,5,1,2,3,2,5,5,5,2,5,47
4,4,3,2,3,4,4,5,2,3,2,4,4,1,5,2,4,65
1,4,6,6,6,5,6,4,1,1,3,4,6,6,6,2,2,38
2,6,6,6,5,4,6,6,2,5,6,6,2,3,4,2,3,44
3,2,6,1,6,3,1,5,2,5,3,5,2,4,5,2,2,68
3,5,5,5,5,3,5,5,2,1,1,1,5,6,5,2,3,49
1,6,6,6,6,6,6,6,1,1,5,1,6,6,6,2,1,71
2,5,5,6,4,3,3,4,4,2,5,5,4,3,3,2,2,70
1,5,4,3,2,6,5,2,1,5,2,2,1,2,2,2,2,56
3,5,3,4,4,3,2,5,4,5,2,5,3,3,4,2,NA,38
1,5,5,5,5,4,1,2,6,3,2,1,5,3,6,2,4,72
2,4,2,6,5,5,4,4,6,5,5,6,3,3,5,2,5,58
1,6,5,6,5,5,6,4,2,4,1,1,5,6,6,2,3,37
2,4,4,6,5,4,4,4,3,4,1,1,5,5,6,2,5,73
1,5,5,5,5,5,4,5,3,3,3,2,5,5,5,2,5,55
2,4,5,6,5,4,3,3,5,5,5,4,5,3,1,2,3,41
5,5,5,6,5,4,5,6,4,3,5,4,4,4,6,1,3,49
2,5,5,6,5,6,6,5,1,3,1,1,4,4,6,2,5,56
2,5,1,6,4,4,4,6,4,2,4,3,4,5,4,2,3,39
4,6,6,4,4,6,4,6,1,4,1,5,5,2,5,2,3,43
2,5,5,6,5,5,5,5,1,1,2,2,4,5,4,2,2,59
3,5,1,4,4,2,4,4,4,4,4,2,5,4,5,2,3,39
2,5,5,4,5,4,4,5,3,2,4,5,5,6,3,2,NA,37
2,3,6,4,5,3,3,5,3,4,3,1,6,5,6,2,3,38
1,5,5,6,5,5,5,5,2,4,4,NA,4,5,3,2,3,45
4,2,5,5,5,4,4,3,4,6,4,2,3,3,4,2,NA,35
1,5,5,5,4,5,4,5,4,5,5,5,1,2,4,1,3,40
2,5,5,6,6,4,5,2,4,4,6,5,5,4,4,2,NA,34
4,3,6,6,6,5,6,5,1,3,1,1,3,5,6,2,3,40
3,4,6,6,6,6,4,5,1,2,4,1,5,4,5,1,1,45
1,6,1,6,5,4,1,2,5,6,1,1,5,5,6,2,5,84
1,5,3,6,5,2,5,5,1,2,2,4,6,5,5,2,2,38
1,6,6,4,5,4,5,2,3,6,3,4,4,6,4,2,3,40
4,5,2,6,5,3,2,4,3,6,1,5,4,3,2,2,1,39
1,6,5,3,6,5,6,6,1,2,4,4,4,6,5,2,5,52
NA,5,4,3,4,4,3,3,3,4,4,2,4,4,4,1,2,69
4,6,5,6,6,5,5,5,5,4,1,1,6,6,6,1,2,65
1,6,5,2,2,4,1,5,6,6,6,6,3,2,1,1,1,38
6,6,6,6,6,3,6,2,5,5,2,2,6,6,6,2,5,48
1,4,2,5,3,5,5,5,3,4,4,5,3,3,2,2,5,42
3,5,4,4,3,5,5,4,2,4,5,2,3,4,4,2,4,45
1,6,6,6,6,6,5,4,1,1,1,1,6,6,6,2,5,54
2,5,5,5,3,5,5,5,1,4,4,4,3,3,5,2,5,62
1,5,3,5,4,5,4,3,1,4,3,2,4,5,5,2,3,57
1,6,5,6,6,6,6,6,1,1,1,1,4,6,5,2,3,62
1,5,5,6,4,5,5,4,1,1,3,3,3,4,5,2,5,43
4,4,5,1,5,5,4,4,2,5,1,4,6,6,5,2,4,49
2,3,4,1,2,3,5,3,1,1,6,6,1,2,3,1,2,38
2,6,6,4,6,6,5,5,3,2,1,1,3,6,5,2,3,42
4,6,6,6,5,4,5,6,NA,1,1,3,6,6,6,2,3,50
4,4,4,4,5,5,5,4,2,3,4,2,4,4,5,2,3,58
2,6,5,6,3,5,6,5,2,3,3,2,5,5,5,2,2,73
